Category,Command,Sub-command,Caller,Description,Format,Example,Progress,Notes
Configuration,config,init,htcli config init,Initialize Hypertensor CLI configuration interactively,Interactive,htcli config init,✅ Complete,Interactive wizard for initial setup
Configuration,config,show,htcli config show,Display current configuration settings,Table,htcli config show,✅ Complete,Shows all configuration sections
Configuration,config,edit,htcli config edit,Interactive configuration editor within terminal,Interactive,htcli config edit,✅ Complete,In-terminal editor
Configuration,config,set,htcli config set,Set specific configuration values,CLI,htcli config set network.endpoint wss://testnet.hypertensor.ai,✅ Complete,Supports nested keys with type validation
Configuration,config,get,htcli config get,Retrieve specific configuration values,CLI,htcli config get network.endpoint,✅ Complete,Shows value with type and usage tips
Configuration,config,path,htcli config path,Show configuration file path,CLI,htcli config path,✅ Complete,Displays config file location
Configuration,config,validate,htcli config validate,Validate configuration file,CLI,htcli config validate,✅ Complete,Checks config file integrity
Subnet,subnet,register,htcli subnet register,Register a new subnet with comprehensive parameters,CLI,htcli subnet register --name "My AI Subnet" --repo "https://github.com/my/ai-subnet" --description "Advanced AI computation subnet" --min-stake 1000000000000000000 --max-stake 10000000000000000000 --churn-limit 4 --registration-epochs 10 --activation-grace-epochs 5 --idle-epochs 3 --included-epochs 2 --max-penalties 3 --key-name my-subnet-key,✅ Complete,Comprehensive subnet registration
Subnet,subnet,activate,htcli subnet activate,Activate a registered subnet (requires minimum nodes and delegate stake),CLI,htcli subnet activate --subnet-id 1 --key-name my-subnet-key,✅ Complete,Activates subnet for operation
Subnet,subnet,pause,htcli subnet pause,Temporarily pause subnet operations,CLI,htcli subnet pause --subnet-id 1 --key-name my-subnet-key,✅ Complete,Temporary pause for maintenance
Subnet,subnet,unpause,htcli subnet unpause,Resume paused subnet operations,CLI,htcli subnet unpause --subnet-id 1 --key-name my-subnet-key,✅ Complete,Resumes paused subnet
Subnet,subnet,list,htcli subnet list,List all subnets with optional filtering and formatting,CLI,htcli subnet list --format table --limit 10,✅ Complete,Supports --mine flag for personal filtering
Subnet,subnet,info,htcli subnet info,Get detailed information about a specific subnet,CLI,htcli subnet info --subnet-id 1 --format table,✅ Complete,Comprehensive subnet details
Subnet,subnet,owner-update-name,htcli subnet owner-update-name,Update subnet name (owner only),CLI,htcli subnet owner-update-name --subnet-id 1 --name "Updated Subnet Name" --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-repo,htcli subnet owner-update-repo,Update subnet repository URL (owner only),CLI,htcli subnet owner-update-repo --subnet-id 1 --repo "https://github.com/my/updated-subnet" --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-description,htcli subnet owner-update-description,Update subnet description (owner only),CLI,htcli subnet owner-update-description --subnet-id 1 --description "Updated description" --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-churn-limit,htcli subnet owner-update-churn-limit,Update subnet churn limit (owner only),CLI,htcli subnet owner-update-churn-limit --subnet-id 1 --churn-limit 6 --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-min-stake,htcli subnet owner-update-min-stake,Update minimum stake requirement (owner only),CLI,htcli subnet owner-update-min-stake --subnet-id 1 --min-stake 2000000000000000000 --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-update-max-stake,htcli subnet owner-update-max-stake,Update maximum stake limit (owner only),CLI,htcli subnet owner-update-max-stake --subnet-id 1 --max-stake 20000000000000000000 --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-transfer-ownership,htcli subnet owner-transfer-ownership,Transfer subnet ownership to another account,CLI,htcli subnet owner-transfer-ownership --subnet-id 1 --new-owner 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --key-name my-subnet-key,✅ Complete,Owner-only operation
Subnet,subnet,owner-accept-ownership,htcli subnet owner-accept-ownership,Accept transferred subnet ownership,CLI,htcli subnet owner-accept-ownership --subnet-id 1 --key-name new-owner-key,✅ Complete,New owner operation
Subnet,subnet,owner-undo-transfer,htcli subnet owner-undo-transfer,Undo a pending ownership transfer,CLI,htcli subnet owner-undo-transfer --subnet-id 1 --key-name my-subnet-key,✅ Complete,Original owner operation
Node,node,register,htcli node register,Register a new node with comprehensive parameters,CLI,htcli node register --subnet-id 1 --hotkey 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --peer-id 12D3KooWABC123DEF456 --bootnode-peer-id 12D3KooWXYZ789GHI012 --client-peer-id 12D3KooWJKL345MNO678 --stake 1000000000000000000 --reward-rate 50000000000000000 --bootnode /ip4/127.0.0.1/tcp/30333/p2p/12D3KooWABC123DEF456 --key-name my-node-key,✅ Complete,Comprehensive node registration
Node,node,activate,htcli node activate,Activate a registered node within its time window,CLI,htcli node activate --subnet-id 1 --node-id 5 --key-name my-node-key,✅ Complete,Activates node for operation
Node,node,update,htcli node update,Update node's delegate reward rate (1% decrease per 24 hours unlimited increases),CLI,htcli node update --subnet-id 1 --node-id 5 --delegate-reward-rate 60000000000000000 --key-name my-node-key,✅ Complete,Reward rate management
Node,node,update-coldkey,htcli node update-coldkey,Update node's coldkey (requires current hotkey signature),CLI,htcli node update-coldkey --subnet-id 1 --node-id 5 --new-coldkey 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --key-name my-node-key,✅ Complete,Key management
Node,node,update-hotkey,htcli node update-hotkey,Update node's hotkey (requires current coldkey signature),CLI,htcli node update-hotkey --subnet-id 1 --node-id 5 --new-hotkey 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --key-name my-node-key,✅ Complete,Key management
Node,node,deactivate,htcli node deactivate,Temporarily deactivate a node (validators only),CLI,htcli node deactivate --subnet-id 1 --node-id 5 --key-name my-node-key,✅ Complete,Temporary deactivation
Node,node,reactivate,htcli node reactivate,Reactivate a deactivated node within time limits,CLI,htcli node reactivate --subnet-id 1 --node-id 5 --key-name my-node-key,✅ Complete,Reactivation within time window
Node,node,remove,htcli node remove,Remove a node with beautiful stake management options,CLI,htcli node remove --subnet-id 1 --node-id 5 --remove-stake --key-name my-node-key,✅ Complete,Supports automatic stake removal
Node,node,cleanup-expired,htcli node cleanup-expired,Clean up expired registered or deactivated nodes,CLI,htcli node cleanup-expired --subnet-id 1 --node-id 5 --cleanup-type deactivated --key-name my-node-key,✅ Complete,Cleanup operations
Node,node,status,htcli node status,Get detailed node status and classification information,CLI,htcli node status --subnet-id 1 --node-id 5 --format table,✅ Complete,Comprehensive node status
Node,node,list,htcli node list,List nodes in a subnet with optional filtering,CLI,htcli node list --subnet-id 1 --format table --limit 10,✅ Complete,Supports --mine flag
Staking,stake,delegate-add,htcli stake delegate-add,Add stake to subnet delegate pool,CLI,htcli stake delegate-add --subnet-id 1 --amount 1000000000000000000 --key-name my-staking-key,✅ Complete,Subnet-level delegation
Staking,stake,delegate-remove,htcli stake delegate-remove,Remove stake shares from subnet delegate pool,CLI,htcli stake delegate-remove --subnet-id 1 --shares 500000000000000000 --key-name my-staking-key,✅ Complete,Subnet-level delegation
Staking,stake,delegate-transfer,htcli stake delegate-transfer,Transfer subnet delegate stake shares to another account,CLI,htcli stake delegate-transfer --subnet-id 1 --to-account 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --shares 100000000000000000 --key-name my-staking-key,✅ Complete,Subnet-level delegation
Staking,stake,delegate-increase,htcli stake delegate-increase,Increase subnet delegate stake pool (airdrop rewards),CLI,htcli stake delegate-increase --subnet-id 1 --amount 500000000000000000 --key-name my-staking-key,✅ Complete,Pool increase for rewards
Staking,stake,node-add,htcli stake node-add,Add stake to specific node,CLI,htcli stake node-add --subnet-id 1 --node-id 5 --amount 1000000000000000000 --key-name my-staking-key,✅ Complete,Node-specific delegation
Staking,stake,node-remove,htcli stake node-remove,Remove stake shares from specific node,CLI,htcli stake node-remove --subnet-id 1 --node-id 5 --shares 500000000000000000 --key-name my-staking-key,✅ Complete,Node-specific delegation
Staking,stake,node-transfer,htcli stake node-transfer,Transfer node delegate stake shares to another account,CLI,htcli stake node-transfer --subnet-id 1 --node-id 5 --to-account 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --shares 100000000000000000 --key-name my-staking-key,✅ Complete,Node-specific delegation
Staking,stake,node-increase,htcli stake node-increase,Increase node delegate stake pool (airdrop rewards),CLI,htcli stake node-increase --subnet-id 1 --node-id 5 --amount 500000000000000000 --key-name my-staking-key,✅ Complete,Node pool increase
Staking,stake,add,htcli stake add,Add stake to a specific node (legacy command),CLI,htcli stake add --subnet-id 1 --node-id 5 --amount 1000000000000000000 --key-name my-staking-key,⚠️ Legacy,Deprecated - use node-add instead
Staking,stake,remove,htcli stake remove,Remove stake from a specific node (legacy command),CLI,htcli stake remove --subnet-id 1 --node-id 5 --amount 500000000000000000 --key-name my-staking-key,⚠️ Legacy,Deprecated - use node-remove instead
Staking,stake,claim,htcli stake claim,Claim unbonded stake with comprehensive guidance,CLI,htcli stake claim --hotkey 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --key-name my-staking-key,✅ Complete,Claim unbonded tokens
Staking,stake,info,htcli stake info,Get staking information (supports --mine flag),CLI,htcli stake info --subnet-id 1 --node-id 5 --format table,✅ Complete,Interactive address selection
Staking,stake,list-addresses,htcli stake list-addresses,List available addresses for stake information,CLI,htcli stake list-addresses --no-guidance,✅ Complete,Shows all wallet addresses
Wallet,wallet,generate-key,htcli wallet generate-key,Generate a new cryptographic keypair,CLI,htcli wallet generate-key --name my-key --crypto-type sr25519,✅ Complete,Key generation
Wallet,wallet,generate-hotkey,htcli wallet generate-hotkey,Generate a hotkey specifically for node operations,CLI,htcli wallet generate-hotkey --name my-hotkey --crypto-type sr25519,✅ Complete,Hotkey generation
Wallet,wallet,import-key,htcli wallet import-key,Import an existing private key,CLI,htcli wallet import-key --name imported-key --private-key 0x1234567890abcdef... --crypto-type sr25519,✅ Complete,Key import
Wallet,wallet,list-keys,htcli wallet list-keys,List all stored keys,CLI,htcli wallet list-keys --format table,✅ Complete,Key listing
Wallet,wallet,status,htcli wallet status,Get detailed wallet status and key information,CLI,htcli wallet status --key-name my-key,✅ Complete,Wallet status
Wallet,wallet,delete-key,htcli wallet delete-key,Delete a stored key (with confirmation),CLI,htcli wallet delete-key --name my-key,✅ Complete,Key deletion with confirmation
Chain,chain,info,htcli chain info,Get comprehensive network information,CLI,htcli chain info --format table,✅ Complete,Network overview
Chain,chain,balance,htcli chain balance,Get account balance,CLI,htcli chain balance --address 5HpG9w8EBLe5XCrbczpwq5TSXvedjrBGCwqxK9iYqurHh9Qu --format table,✅ Complete,Account balance
Chain,chain,block,htcli chain block,Get block information,CLI,htcli chain block --block-number 12345 --format table,✅ Complete,Block details
Chain,chain,transaction,htcli chain transaction,Get transaction information,CLI,htcli chain transaction --hash 0x1234567890abcdef... --format table,✅ Complete,Transaction details
Chain,chain,network,htcli chain network,Get network statistics,CLI,htcli chain network --format table,✅ Complete,Network stats
Chain,chain,subnet,htcli chain subnet,Get subnet statistics,CLI,htcli chain subnet --subnet-id 1 --format table,✅ Complete,Subnet stats
Chain,chain,node,htcli chain node,Get node statistics,CLI,htcli chain node --subnet-id 1 --node-id 5 --format table,✅ Complete,Node stats
Chain,chain,stake,htcli chain stake,Get staking statistics,CLI,htcli chain stake --subnet-id 1 --format table,✅ Complete,Staking stats
Flow,flow,list,htcli flow list,List all available automated workflows,CLI,htcli flow list --format table,✅ Complete,Available flows
Flow,flow,info,htcli flow info,Get detailed information about a specific flow,CLI,htcli flow info subnet-deployment --format table,✅ Complete,Flow details
Flow,flow,run,htcli flow run,Run an automated workflow with interactive prompts,CLI,htcli flow run subnet-deployment --interactive,✅ Complete,Automated workflows
